onderdeel,punt
Je hebt een document-type, 1
Je hebt A4-papier, 1
Titel, 1
Auteur, 1
Bij he auteur geef je extra dank aan de persoon die je LaTeX geleerd heeft, 1
Je gebruikt comments om je code overzichtelijk te maken, 1
Je hebt tekst in het vet (bold) cursief (italic) en onderlijnd (underline), 3
Je hebt minstens 1 afbeelding met caption, 3
Je verwijst later terug naar de afbeelding via het label, 1
Onderder list, 1
Unordered list, 1
Je hebt titels & subtitels, 1
Je hebt een tabel, 1
Je hebt een inhoudstafel, 1
Onder je inhoudstafel staat een afbeelding, 1
Je gebruikt een template, 1
<strong>Exporteren</strong>
Je hebt een geschreven document (.pdf), 1
Je hebt een presentatie, 1
Je hebt handouts voor bij je presentatie, 1